t_ms,qw,qx,qy,qz,err_deg,wx,wy,wz,tx,ty,tz,loop_us
102,0.969,0.000,0.250,-0.000,93.45,0.01,5.00,-0.00,12.28,-48.36,9.56,2176
117,0.959,0.001,0.285,-0.000,94.51,0.18,4.66,0.04,11.42,-46.40,10.36,2048
133,0.949,0.003,0.317,-0.000,95.39,0.35,4.29,0.09,10.56,-44.08,10.98,2040
148,0.938,0.007,0.348,-0.000,96.15,0.51,3.96,0.13,9.70,-42.09,11.60,2044
163,0.927,0.011,0.374,-0.001,96.82,0.65,3.64,0.18,8.92,-40.11,12.03,2048
178,0.917,0.017,0.398,-0.001,97.32,0.78,3.32,0.23,8.20,-38.02,12.32,2044
193,0.907,0.024,0.422,-0.001,97.68,0.90,3.04,0.28,7.49,-36.23,12.61,2052
208,0.897,0.031,0.441,-0.002,97.93,0.99,2.77,0.33,6.84,-34.46,12.75,2040
224,0.888,0.040,0.459,-0.002,98.03,1.08,2.49,0.38,6.24,-32.50,12.76,2040
239,0.879,0.049,0.474,-0.003,98.01,1.17,2.26,0.43,5.66,-31.01,12.75,2040
254,0.870,0.059,0.489,-0.003,97.85,1.24,2.04,0.48,5.12,-29.48,12.69,2048
270,0.863,0.069,0.501,-0.003,97.59,1.30,1.82,0.54,4.63,-28.00,12.49,2052
285,0.855,0.080,0.512,-0.004,97.21,1.36,1.61,0.59,4.15,-26.47,12.27,2048
301,0.848,0.092,0.522,-0.004,96.64,1.41,1.42,0.64,3.70,-25.14,12.03,2044
316,0.842,0.104,0.530,-0.005,96.09,1.45,1.25,0.69,3.29,-23.86,11.71,2044
331,0.836,0.116,0.536,-0.005,95.39,1.49,1.07,0.74,2.89,-22.55,11.30,2040
347,0.831,0.129,0.542,-0.006,94.51,1.53,0.92,0.79,2.52,-21.41,10.92,2044
362,0.825,0.142,0.547,-0.006,93.67,1.55,0.78,0.84,2.17,-20.31,10.49,2044
377,0.821,0.156,0.550,-0.006,92.71,1.58,0.64,0.89,1.83,-19.20,10.00,2036
393,0.816,0.170,0.552,-0.007,91.55,1.60,0.52,0.94,1.51,-18.22,9.53,2036
408,0.812,0.184,0.554,-0.007,90.47,1.62,0.40,0.98,1.21,-17.30,9.04,2032
423,0.808,0.198,0.554,-0.007,89.28,1.63,0.30,1.03,0.93,-16.42,8.49,2040
439,0.805,0.212,0.554,-0.007,88.03,1.64,0.19,1.07,0.66,-15.53,7.97,2052
453,0.802,0.228,0.553,-0.007,86.61,1.65,0.10,1.11,0.39,-14.75,7.45,2048
468,0.798,0.242,0.551,-0.007,85.27,1.65,0.02,1.14,0.14,-14.00,6.91,2052
484,0.795,0.257,0.549,-0.007,83.85,1.66,-0.06,1.18,-0.10,-13.30,6.35,2048
499,0.793,0.272,0.546,-0.007,82.39,1.66,-0.13,1.21,-0.33,-12.59,5.81,2036
515,0.790,0.287,0.542,-0.007,80.77,1.66,-0.20,1.24,-0.56,-11.96,5.27,2040
530,0.787,0.302,0.538,-0.006,79.25,1.65,-0.26,1.27,-0.77,-11.36,4.74,2040
545,0.784,0.317,0.533,-0.006,77.69,1.65,-0.32,1.30,-0.96,-10.77,4.19,2036
561,0.782,0.332,0.527,-0.006,76.09,1.64,-0.36,1.33,-1.15,-10.22,3.66,2028
576,0.779,0.348,0.522,-0.005,74.36,1.63,-0.41,1.35,-1.35,-9.72,3.16,2036
591,0.776,0.362,0.515,-0.005,72.72,1.62,-0.45,1.37,-1.52,-9.23,2.64,2028
607,0.774,0.377,0.509,-0.004,71.06,1.60,-0.49,1.38,-1.68,-8.75,2.15,2040
